county_name,year,supersector,total_annual_wages,annual_avg_emplvl,avg_annual_pay,in_core_11
Carroll,2019,Education and health services,355396866,6097,58290.0,False
Carroll,2019,Financial activities,46284936,920,50310.0,False
Carroll,2019,Information,44999776,921,48860.0,False
Carroll,2019,Leisure and hospitality,75106384,5200,14444.0,False
Carroll,2019,Manufacturing,403167142,7758,51968.0,False
Carroll,2019,Natural resources and mining,7114839,161,44192.0,False
Carroll,2019,Other services,26301486,778,33807.0,False
Carroll,2019,Professional and business services,183043356,3445,53133.0,False
Carroll,2019,"Trade, transportation and utilities",263944947,7515,35122.0,False
Carroll,2020,Construction,161079154,2661,60533.0,False
Carroll,2020,Education and health services,354229946,5913,59907.0,False
Carroll,2020,Financial activities,48858378,884,55270.0,False
Carroll,2020,Information,48049157,841,57133.0,False
Carroll,2020,Leisure and hospitality,71099743,4619,15393.0,False
Carroll,2020,Manufacturing,393781401,6972,56480.0,False
Carroll,2020,Natural resources and mining,7450338,157,47454.0,False
Carroll,2020,Other services,27026963,777,34784.0,False
Carroll,2020,Professional and business services,201264066,3580,56219.0,False
Carroll,2020,"Trade, transportation and utilities",291580290,7713,37804.0,False
Carroll,2021,Construction,160011583,2509,63775.0,False
Carroll,2021,Education and health services,385890106,5949,64866.0,False
Carroll,2021,Financial activities,52309955,890,58775.0,False
Carroll,2021,Information,44671312,762,58624.0,False
Carroll,2021,Leisure and hospitality,86505335,4987,17346.0,False
Carroll,2021,Manufacturing,443971189,6979,63615.0,False
Carroll,2021,Natural resources and mining,7508022,147,51075.0,False
Carroll,2021,Other services,38761804,1021,37965.0,False
Carroll,2021,Professional and business services,208179578,3834,54298.0,False
Carroll,2021,"Trade, transportation and utilities",317953121,8048,39507.0,False
Carroll,2022,Construction,189957034,2700,70354.0,False
Carroll,2022,Education and health services,424794663,6245,68022.0,False
Carroll,2022,Financial activities,57428926,951,60388.0,False
Carroll,2022,Information,34934365,570,61288.0,False
Carroll,2022,Leisure and hospitality,92708651,4974,18639.0,False
Carroll,2022,Manufacturing,470609826,7316,64326.0,False
Carroll,2022,Natural resources and mining,7015482,132,53148.0,False
Carroll,2022,Other services,42611964,1077,39565.0,False
Carroll,2022,Professional and business services,269675988,3932,68585.0,False
Carroll,2022,"Trade, transportation and utilities",342589051,8221,41672.0,False
Carroll,2023,Construction,236384312,3029,78040.0,False
Carroll,2023,Education and health services,469105398,6533,71806.0,False
Carroll,2023,Financial activities,59628559,956,62373.0,False
Carroll,2023,Information,34909865,541,64528.0,False
Carroll,2023,Leisure and hospitality,100741658,5228,19270.0,False
Carroll,2023,Manufacturing,521763058,7588,68762.0,False
Carroll,2023,Natural resources and mining,5856509,92,63658.0,False
Carroll,2023,Other services,46127179,1109,41593.0,False
Carroll,2023,Professional and business services,300148628,4443,67555.0,False
Carroll,2023,"Trade, transportation and utilities",348208186,8036,43331.0,False
Cherokee,2015,Construction,191720125,3965,48353.0,True
Cherokee,2015,Education and health services,288348706,6582,43809.0,True
Cherokee,2015,Financial activities,123445043,2236,55208.0,True
Cherokee,2015,Information,27412110,568,48261.0,True
Cherokee,2015,Leisure and hospitality,118301159,7711,15342.0,True
Cherokee,2015,Manufacturing,195562597,4228,46254.0,True
Cherokee,2015,Natural resources and mining,5478690,169,32418.0,True
Cherokee,2015,Other services,71263164,2059,34611.0,True
Cherokee,2015,Professional and business services,262678910,5600,46907.0,True
Cherokee,2015,"Trade, transportation and utilities",432431231,12225,35373.0,True
Cherokee,2016,Construction,228491533,4270,53511.0,True
Cherokee,2016,Education and health services,312925220,6968,44909.0,True
Cherokee,2016,Financial activities,121931503,2203,55348.0,True
Cherokee,2016,Information,29643800,576,51465.0,True
Cherokee,2016,Leisure and hospitality,131999898,8303,15898.0,True
Cherokee,2016,Manufacturing,213059918,4494,47410.0,True
Cherokee,2016,Natural resources and mining,6638474,176,37719.0,True
Cherokee,2016,Other services,77081079,2161,35669.0,True
Cherokee,2016,Professional and business services,278894378,5697,48955.0,True
Cherokee,2016,"Trade, transportation and utilities",455912726,12871,35422.0,True
Cherokee,2017,Construction,270186472,4966,54407.0,True
Cherokee,2017,Education and health services,341422536,7524,45378.0,True
